state,x,y
Alabama,142,-80
Alaska,-200,-180
Arizona,-200,-50
Arkansas,62,-55
California,-297,13
Colorado,-112,13
Connecticut,330,80
Delaware,300,35
Florida,220,-145
Georgia,190,-85
Hawaii,-317,-143
Idaho,-210,110
Illinois,97,35
Indiana,138,38
Iowa,38,60
Kansas,-17,3
Kentucky,149,-12
Louisiana,62,-120
Maine,325,160
Maryland,280,27
Massachusetts,330,103
Michigan,148,95
Minnesota,35,130
Mississippi,98,-95
Missouri,57,3
Montana,-141,150
Nebraska,-40,55
Nevada,-250,40
New Hampshire,330,120
New Jersey,305,60
New Mexico,-123,-60
New York,253,95
North Carolina,239,-30
North Dakota,-40,152
Ohio,176,40
Oklahoma,-5,-50
Oregon,-278,135
Pennsylvania,238,65
Rhode Island,348,90
South Carolina,235,-60
South Dakota,-40,105
Tennessee,137,-40
Texas,-38,-106
Utah,-189,30
Vermont,275,145
Virginia,240,5
Washington,-257,182
West Virginia,200,20
Wisconsin,83,113
Wyoming,-125,85
